Timestamp,Subsystem,Component,LogMessage,FaultType
7/6/2025 10:45,SignalModule,TrainControl,Unexpected system restart,Unknown
7/5/2025 14:10,SignalModule,TrackCircuit,Log entry could not be classified,Unknown
7/2/2025 1:59,ZoneController,TrackCircuit,Signal module 114 sent conflicting commands,Signal Conflict
7/7/2025 6:17,OnboardUnit,BaliseReader,Log entry could not be classified,Unknown
7/6/2025 17:05,TracksideSensor,SignalRelay,Balise ID 327 not recognized by Zone Controller,Balise Error
7/3/2025 4:15,OnboardUnit,TrainControl,Track circuit 435 failed self-check,Track Circuit Failure
7/4/2025 1:49,ATS,ZoneLink,Log entry could not be classified,Unknown
7/7/2025 14:34,OnboardUnit,BaliseReader,Balise reader on train 802 failed to detect balise at position 26,Balise Error
7/1/2025 16:06,ATS,BaliseReader,Track circuit 126 is showing occupied for too long,Track Circuit Failure
7/7/2025 15:40,SignalModule,ZoneLink,Unexpected system restart,Unknown
7/6/2025 19:59,ATS,TrackCircuit,Unexpected system restart,Unknown
7/6/2025 21:09,TracksideSensor,TrackCircuit,Balise ID 651 not recognized by Zone Controller,Balise Error
7/7/2025 14:22,TracksideSensor,TrackCircuit,Track circuit 861 failed self-check,Track Circuit Failure
7/6/2025 4:09,ZoneController,TrackCircuit,Timeout while sending data to ATS,Communication Fault
7/5/2025 14:48,OnboardUnit,SignalRelay,Lost communication with train ID 838,Communication Fault
7/2/2025 9:18,SignalModule,SignalRelay,Track circuit 901 failed self-check,Track Circuit Failure
7/4/2025 14:21,ATS,BaliseReader,Track circuit 684 is showing occupied for too long,Track Circuit Failure
7/4/2025 21:06,ZoneController,BaliseReader,Signal module 313 sent conflicting commands,Signal Conflict
7/7/2025 10:11,SignalModule,BaliseReader,Track circuit 333 failed self-check,Track Circuit Failure
7/4/2025 16:10,OnboardUnit,ZoneLink,Signal module 316 sent conflicting commands,Signal Conflict
7/4/2025 2:29,ZoneController,BaliseReader,Signal overlap detected between train 769 and train 11,Signal Conflict
7/1/2025 13:34,SignalModule,SignalRelay,Balise reader on train 337 failed to detect balise at position 24,Balise Error
7/7/2025 21:02,ZoneController,BaliseReader,Track circuit 993 is showing occupied for too long,Track Circuit Failure
7/7/2025 0:29,OnboardUnit,TrainControl,Timeout while sending data to ATS,Communication Fault
7/3/2025 12:00,ZoneController,TrainControl,Signal overlap detected between train 790 and train 9,Signal Conflict
7/2/2025 23:06,TracksideSensor,BaliseReader,Lost communication with train ID 162,Communication Fault
7/1/2025 11:03,ATS,TrackCircuit,Signal module 339 sent conflicting commands,Signal Conflict
7/6/2025 7:48,SignalModule,TrainControl,Timeout while sending data to ATS,Communication Fault
7/6/2025 4:57,ZoneController,ZoneLink,Lost communication with train ID 154,Communication Fault
7/7/2025 1:10,SignalModule,TrainControl,Signal module 323 sent conflicting commands,Signal Conflict
7/1/2025 13:38,TracksideSensor,ZoneLink,Undocumented fault condition encountered,Unknown
7/7/2025 11:07,SignalModule,TrainControl,Balise ID 290 not recognized by Zone Controller,Balise Error
7/5/2025 19:51,SignalModule,ZoneLink,Track circuit 387 failed self-check,Track Circuit Failure
7/1/2025 14:54,ATS,TrainControl,Signal overlap detected between train 105 and train 1,Signal Conflict
7/2/2025 12:24,SignalModule,ZoneLink,Track circuit 342 failed self-check,Track Circuit Failure
7/6/2025 8:53,SignalModule,BaliseReader,Track circuit 564 failed self-check,Track Circuit Failure
7/3/2025 9:26,OnboardUnit,TrainControl,Log entry could not be classified,Unknown
7/2/2025 20:05,ZoneController,BaliseReader,Balise ID 242 not recognized by Zone Controller,Balise Error
7/3/2025 1:44,ATS,TrackCircuit,Lost communication with train ID 912,Communication Fault
7/7/2025 17:33,ZoneController,SignalRelay,Signal module 609 sent conflicting commands,Signal Conflict
7/6/2025 19:58,TracksideSensor,TrainControl,Balise reader on train 258 failed to detect balise at position 28,Balise Error
7/4/2025 19:34,ZoneController,TrainControl,Undocumented fault condition encountered,Unknown
7/4/2025 14:19,OnboardUnit,ZoneLink,Timeout while sending data to ATS,Communication Fault
7/2/2025 15:34,TracksideSensor,TrackCircuit,Track circuit 140 failed self-check,Track Circuit Failure
7/4/2025 20:53,SignalModule,TrackCircuit,Signal module 134 sent conflicting commands,Signal Conflict
7/3/2025 2:51,ZoneController,TrainControl,Track circuit 965 failed self-check,Track Circuit Failure
7/5/2025 21:52,OnboardUnit,TrainControl,Track circuit 130 failed self-check,Track Circuit Failure
7/5/2025 12:59,ZoneController,ZoneLink,Timeout while sending data to ATS,Communication Fault
7/1/2025 10:16,TracksideSensor,BaliseReader,Signal overlap detected between train 761 and train 41,Signal Conflict
7/7/2025 1:50,SignalModule,TrainControl,Log entry could not be classified,Unknown
7/6/2025 12:42,OnboardUnit,TrainControl,Balise ID 167 not recognized by Zone Controller,Balise Error
7/7/2025 10:34,ATS,SignalRelay,Track circuit 464 failed self-check,Track Circuit Failure
7/5/2025 6:01,SignalModule,BaliseReader,Track circuit 683 failed self-check,Track Circuit Failure
7/3/2025 20:11,TracksideSensor,TrackCircuit,Balise ID 851 not recognized by Zone Controller,Balise Error
7/4/2025 13:57,TracksideSensor,BaliseReader,Balise ID 436 not recognized by Zone Controller,Balise Error
7/4/2025 23:51,ZoneController,TrackCircuit,Signal overlap detected between train 863 and train 7,Signal Conflict
7/1/2025 13:52,OnboardUnit,SignalRelay,Signal overlap detected between train 156 and train 38,Signal Conflict
7/4/2025 22:40,TracksideSensor,ZoneLink,Balise ID 344 not recognized by Zone Controller,Balise Error
7/6/2025 4:15,ATS,SignalRelay,Lost communication with train ID 660,Communication Fault
7/6/2025 0:14,SignalModule,SignalRelay,Signal overlap detected between train 960 and train 2,Signal Conflict
7/6/2025 20:11,ATS,TrackCircuit,Track circuit 244 is showing occupied for too long,Track Circuit Failure
7/4/2025 4:15,ATS,TrackCircuit,Balise reader on train 266 failed to detect balise at position 5,Balise Error
7/8/2025 0:39,TracksideSensor,TrackCircuit,Timeout while sending data to ATS,Communication Fault
7/6/2025 1:17,ZoneController,TrainControl,Balise ID 362 not recognized by Zone Controller,Balise Error
7/7/2025 9:44,ATS,TrackCircuit,Balise ID 408 not recognized by Zone Controller,Balise Error
7/5/2025 7:20,TracksideSensor,TrackCircuit,Track circuit 416 is showing occupied for too long,Track Circuit Failure
7/6/2025 2:46,OnboardUnit,SignalRelay,Timeout while sending data to ATS,Communication Fault
7/3/2025 13:01,OnboardUnit,ZoneLink,No response from Zone Controller 788,Communication Fault
7/7/2025 19:44,SignalModule,BaliseReader,No response from Zone Controller 154,Communication Fault
7/7/2025 16:13,ATS,TrainControl,Log entry could not be classified,Unknown
7/4/2025 10:09,ATS,TrainControl,Track circuit 291 failed self-check,Track Circuit Failure
7/6/2025 1:43,ATS,TrackCircuit,Balise ID 900 not recognized by Zone Controller,Balise Error
7/7/2025 4:08,TracksideSensor,BaliseReader,Log entry could not be classified,Unknown
7/5/2025 15:55,TracksideSensor,TrainControl,Unexpected system restart,Unknown
7/1/2025 18:22,TracksideSensor,TrainControl,Timeout while sending data to ATS,Communication Fault
7/7/2025 21:05,SignalModule,TrainControl,Track circuit 650 is showing occupied for too long,Track Circuit Failure
7/7/2025 5:10,OnboardUnit,TrainControl,Balise reader on train 692 failed to detect balise at position 12,Balise Error
7/6/2025 6:24,ZoneController,TrackCircuit,No response from Zone Controller 211,Communication Fault
7/2/2025 9:19,OnboardUnit,BaliseReader,No response from Zone Controller 881,Communication Fault
7/7/2025 12:08,SignalModule,ZoneLink,Balise ID 203 not recognized by Zone Controller,Balise Error
7/2/2025 6:35,TracksideSensor,BaliseReader,Track circuit 361 failed self-check,Track Circuit Failure
7/1/2025 19:17,ATS,BaliseReader,Balise ID 433 not recognized by Zone Controller,Balise Error
7/1/2025 7:58,ATS,SignalRelay,Signal overlap detected between train 482 and train 22,Signal Conflict
7/5/2025 15:02,SignalModule,BaliseReader,Track circuit 399 is showing occupied for too long,Track Circuit Failure
7/3/2025 6:40,ATS,ZoneLink,No response from Zone Controller 539,Communication Fault
7/7/2025 1:17,OnboardUnit,TrainControl,Balise reader on train 221 failed to detect balise at position 22,Balise Error
7/6/2025 3:10,ZoneController,TrackCircuit,Lost communication with train ID 210,Communication Fault
7/4/2025 7:59,OnboardUnit,SignalRelay,No response from Zone Controller 601,Communication Fault
7/6/2025 10:33,OnboardUnit,SignalRelay,Signal overlap detected between train 507 and train 28,Signal Conflict
7/3/2025 15:45,ZoneController,ZoneLink,Balise reader on train 971 failed to detect balise at position 13,Balise Error
7/4/2025 19:14,ZoneController,BaliseReader,Undocumented fault condition encountered,Unknown
7/1/2025 9:03,ATS,TrainControl,Track circuit 298 is showing occupied for too long,Track Circuit Failure
7/5/2025 22:59,OnboardUnit,TrackCircuit,Timeout while sending data to ATS,Communication Fault
7/1/2025 18:12,SignalModule,TrainControl,Signal module 255 sent conflicting commands,Signal Conflict
7/1/2025 6:54,TracksideSensor,SignalRelay,Track circuit 620 failed self-check,Track Circuit Failure
7/1/2025 23:05,SignalModule,SignalRelay,Signal module 745 sent conflicting commands,Signal Conflict
7/4/2025 21:20,ATS,TrainControl,No response from Zone Controller 533,Communication Fault
7/1/2025 11:12,ZoneController,SignalRelay,Unexpected system restart,Unknown
7/8/2025 0:46,TracksideSensor,SignalRelay,No response from Zone Controller 702,Communication Fault
7/6/2025 5:02,ATS,BaliseReader,Track circuit 100 failed self-check,Track Circuit Failure
7/6/2025 9:43,SignalModule,TrainControl,Balise reader on train 672 failed to detect balise at position 49,Balise Error
7/7/2025 17:33,TracksideSensor,SignalRelay,Lost communication with train ID 389,Communication Fault
7/7/2025 18:24,ZoneController,BaliseReader,Balise ID 214 not recognized by Zone Controller,Balise Error
7/1/2025 9:36,ATS,SignalRelay,Balise reader on train 784 failed to detect balise at position 48,Balise Error
7/3/2025 14:49,TracksideSensor,ZoneLink,Signal overlap detected between train 261 and train 49,Signal Conflict
7/7/2025 18:29,ATS,TrainControl,Signal module 199 sent conflicting commands,Signal Conflict
7/7/2025 16:10,ZoneController,ZoneLink,Balise ID 568 not recognized by Zone Controller,Balise Error
7/2/2025 3:12,OnboardUnit,ZoneLink,Signal module 193 sent conflicting commands,Signal Conflict
7/8/2025 3:44,ATS,TrackCircuit,Signal overlap detected between train 152 and train 29,Signal Conflict
7/4/2025 9:28,ZoneController,SignalRelay,Undocumented fault condition encountered,Unknown
7/3/2025 20:52,OnboardUnit,SignalRelay,Signal module 523 sent conflicting commands,Signal Conflict
7/5/2025 11:05,ATS,TrainControl,Signal overlap detected between train 194 and train 5,Signal Conflict
7/1/2025 15:29,OnboardUnit,SignalRelay,Balise reader on train 555 failed to detect balise at position 38,Balise Error
7/8/2025 3:34,ATS,ZoneLink,Lost communication with train ID 386,Communication Fault
7/3/2025 4:52,OnboardUnit,TrackCircuit,Track circuit 617 failed self-check,Track Circuit Failure
7/3/2025 2:45,ATS,BaliseReader,Lost communication with train ID 848,Communication Fault
7/3/2025 2:19,OnboardUnit,BaliseReader,Lost communication with train ID 317,Communication Fault
7/7/2025 15:29,ZoneController,BaliseReader,Track circuit 140 failed self-check,Track Circuit Failure
7/7/2025 4:22,SignalModule,BaliseReader,Track circuit 920 failed self-check,Track Circuit Failure
7/4/2025 19:31,OnboardUnit,TrainControl,Log entry could not be classified,Unknown
7/1/2025 10:44,TracksideSensor,ZoneLink,Signal overlap detected between train 382 and train 44,Signal Conflict
7/5/2025 5:39,ATS,TrainControl,Signal overlap detected between train 740 and train 36,Signal Conflict
7/6/2025 9:12,OnboardUnit,TrackCircuit,Balise reader on train 449 failed to detect balise at position 38,Balise Error
7/1/2025 8:35,ZoneController,TrackCircuit,No response from Zone Controller 992,Communication Fault
7/6/2025 8:36,ZoneController,SignalRelay,Balise reader on train 340 failed to detect balise at position 11,Balise Error
7/5/2025 2:47,TracksideSensor,BaliseReader,Undocumented fault condition encountered,Unknown
7/3/2025 17:53,ATS,TrackCircuit,Log entry could not be classified,Unknown
7/6/2025 5:14,TracksideSensor,SignalRelay,Signal overlap detected between train 165 and train 20,Signal Conflict
7/7/2025 0:55,TracksideSensor,SignalRelay,Undocumented fault condition encountered,Unknown
7/7/2025 23:03,TracksideSensor,TrainControl,Track circuit 668 failed self-check,Track Circuit Failure
7/3/2025 3:20,TracksideSensor,ZoneLink,Signal module 395 sent conflicting commands,Signal Conflict
7/3/2025 12:16,OnboardUnit,TrainControl,Track circuit 136 failed self-check,Track Circuit Failure
7/4/2025 7:30,ZoneController,TrainControl,Signal module 253 sent conflicting commands,Signal Conflict
7/2/2025 20:44,ZoneController,BaliseReader,Signal module 347 sent conflicting commands,Signal Conflict
7/7/2025 15:15,OnboardUnit,TrainControl,Unexpected system restart,Unknown
7/1/2025 13:32,OnboardUnit,TrainControl,Signal module 957 sent conflicting commands,Signal Conflict
7/3/2025 9:34,TracksideSensor,TrackCircuit,Timeout while sending data to ATS,Communication Fault
7/2/2025 2:09,TracksideSensor,ZoneLink,Signal overlap detected between train 589 and train 48,Signal Conflict
7/2/2025 20:26,SignalModule,TrainControl,Signal overlap detected between train 476 and train 45,Signal Conflict
7/6/2025 19:47,ZoneController,SignalRelay,Undocumented fault condition encountered,Unknown
7/7/2025 8:07,TracksideSensor,BaliseReader,Balise reader on train 611 failed to detect balise at position 30,Balise Error
7/3/2025 6:59,TracksideSensor,TrainControl,Timeout while sending data to ATS,Communication Fault
7/3/2025 5:39,OnboardUnit,SignalRelay,Lost communication with train ID 933,Communication Fault
7/1/2025 17:46,ZoneController,SignalRelay,Signal module 680 sent conflicting commands,Signal Conflict
7/5/2025 23:15,TracksideSensor,ZoneLink,Signal module 355 sent conflicting commands,Signal Conflict
7/8/2025 0:27,ZoneController,ZoneLink,Balise reader on train 587 failed to detect balise at position 10,Balise Error
7/7/2025 15:26,ATS,BaliseReader,Unexpected system restart,Unknown
7/1/2025 18:27,ATS,ZoneLink,Unexpected system restart,Unknown
7/3/2025 23:26,ZoneController,ZoneLink,Signal overlap detected between train 197 and train 22,Signal Conflict
7/2/2025 16:57,OnboardUnit,BaliseReader,Lost communication with train ID 779,Communication Fault
7/3/2025 13:09,TracksideSensor,SignalRelay,Signal overlap detected between train 980 and train 14,Signal Conflict
7/5/2025 4:11,ZoneController,SignalRelay,Undocumented fault condition encountered,Unknown
7/7/2025 23:55,ZoneController,SignalRelay,Timeout while sending data to ATS,Communication Fault
7/4/2025 13:56,SignalModule,TrackCircuit,Balise reader on train 274 failed to detect balise at position 12,Balise Error
7/5/2025 2:33,SignalModule,ZoneLink,Log entry could not be classified,Unknown
7/1/2025 22:12,TracksideSensor,BaliseReader,Balise reader on train 369 failed to detect balise at position 24,Balise Error
7/2/2025 23:04,OnboardUnit,SignalRelay,Signal overlap detected between train 742 and train 44,Signal Conflict
7/2/2025 14:56,SignalModule,TrainControl,Log entry could not be classified,Unknown
7/1/2025 23:11,ATS,TrainControl,Balise reader on train 733 failed to detect balise at position 35,Balise Error
7/5/2025 20:46,TracksideSensor,TrainControl,Undocumented fault condition encountered,Unknown
7/2/2025 15:51,SignalModule,BaliseReader,Balise ID 485 not recognized by Zone Controller,Balise Error
7/7/2025 3:01,ATS,TrainControl,Signal module 741 sent conflicting commands,Signal Conflict
7/3/2025 18:37,TracksideSensor,ZoneLink,Log entry could not be classified,Unknown
7/5/2025 21:28,OnboardUnit,TrackCircuit,Track circuit 301 is showing occupied for too long,Track Circuit Failure
7/4/2025 11:48,TracksideSensor,ZoneLink,Signal module 714 sent conflicting commands,Signal Conflict
7/4/2025 8:59,TracksideSensor,TrackCircuit,Signal overlap detected between train 923 and train 11,Signal Conflict
7/5/2025 13:33,SignalModule,TrainControl,Lost communication with train ID 620,Communication Fault
7/5/2025 23:55,OnboardUnit,TrainControl,Track circuit 312 is showing occupied for too long,Track Circuit Failure
7/4/2025 5:15,TracksideSensor,TrainControl,Signal module 588 sent conflicting commands,Signal Conflict
7/4/2025 2:12,OnboardUnit,SignalRelay,Balise reader on train 492 failed to detect balise at position 19,Balise Error
7/2/2025 3:43,OnboardUnit,ZoneLink,Track circuit 168 is showing occupied for too long,Track Circuit Failure
7/8/2025 1:32,SignalModule,BaliseReader,Signal module 195 sent conflicting commands,Signal Conflict
7/2/2025 0:57,ZoneController,SignalRelay,Timeout while sending data to ATS,Communication Fault
7/6/2025 16:11,OnboardUnit,SignalRelay,Lost communication with train ID 303,Communication Fault
7/7/2025 0:07,SignalModule,TrainControl,Signal overlap detected between train 587 and train 22,Signal Conflict
7/6/2025 7:19,OnboardUnit,BaliseReader,Track circuit 456 failed self-check,Track Circuit Failure
7/5/2025 0:54,ZoneController,TrainControl,Undocumented fault condition encountered,Unknown
7/4/2025 4:38,ATS,ZoneLink,Signal overlap detected between train 591 and train 8,Signal Conflict
7/7/2025 5:08,SignalModule,BaliseReader,Undocumented fault condition encountered,Unknown
7/2/2025 21:39,SignalModule,TrackCircuit,Signal overlap detected between train 781 and train 31,Signal Conflict
7/6/2025 10:29,SignalModule,SignalRelay,Timeout while sending data to ATS,Communication Fault
7/7/2025 18:51,ATS,ZoneLink,Signal module 371 sent conflicting commands,Signal Conflict
7/3/2025 12:40,SignalModule,ZoneLink,No response from Zone Controller 312,Communication Fault
7/7/2025 19:20,ZoneController,TrackCircuit,Signal overlap detected between train 755 and train 35,Signal Conflict
7/6/2025 12:07,ATS,SignalRelay,Timeout while sending data to ATS,Communication Fault
7/1/2025 8:48,ZoneController,TrainControl,Signal module 218 sent conflicting commands,Signal Conflict
7/4/2025 3:14,ATS,ZoneLink,Track circuit 692 is showing occupied for too long,Track Circuit Failure
7/2/2025 1:30,ZoneController,TrainControl,Undocumented fault condition encountered,Unknown
7/4/2025 8:30,SignalModule,TrainControl,Balise ID 140 not recognized by Zone Controller,Balise Error
7/2/2025 2:09,TracksideSensor,TrainControl,Signal module 599 sent conflicting commands,Signal Conflict
7/2/2025 2:21,ATS,TrackCircuit,Signal module 724 sent conflicting commands,Signal Conflict
7/3/2025 18:33,TracksideSensor,SignalRelay,Track circuit 236 failed self-check,Track Circuit Failure
7/3/2025 16:08,OnboardUnit,TrainControl,Track circuit 438 failed self-check,Track Circuit Failure
7/3/2025 5:53,SignalModule,TrackCircuit,Signal module 776 sent conflicting commands,Signal Conflict
7/6/2025 10:14,ATS,TrainControl,Balise ID 992 not recognized by Zone Controller,Balise Error
7/7/2025 13:10,OnboardUnit,SignalRelay,Track circuit 640 is showing occupied for too long,Track Circuit Failure
7/4/2025 16:05,TracksideSensor,ZoneLink,Unexpected system restart,Unknown
7/8/2025 0:35,SignalModule,BaliseReader,Balise reader on train 973 failed to detect balise at position 36,Balise Error
7/1/2025 14:19,SignalModule,ZoneLink,Lost communication with train ID 483,Communication Fault
7/4/2025 18:01,ATS,TrainControl,No response from Zone Controller 938,Communication Fault
7/7/2025 5:26,SignalModule,SignalRelay,Signal overlap detected between train 476 and train 29,Signal Conflict
7/5/2025 8:56,ATS,TrackCircuit,Signal module 907 sent conflicting commands,Signal Conflict
7/7/2025 8:40,TracksideSensor,TrainControl,Balise ID 953 not recognized by Zone Controller,Balise Error
7/2/2025 12:20,TracksideSensor,TrackCircuit,Track circuit 739 is showing occupied for too long,Track Circuit Failure
